ID,Datetime,Aforo,Oficina
0,28-08-2022 11:47:11,1,1
1,28-08-2022 11:47:13,2,1
2,28-08-2022 11:47:14,3,1
3,28-08-2022 11:47:16,4,1
4,28-08-2022 11:47:23,5,1
5,28-08-2022 11:47:25,6,1
6,28-08-2022 11:47:26,8,1
7,28-08-2022 11:47:27,9,1
8,28-08-2022 11:47:38,11,1
9,28-08-2022 11:47:39,12,1
10,28-08-2022 11:47:43,14,1
11,28-08-2022 11:47:44,15,1
12,28-08-2022 11:47:45,16,1
13,28-08-2022 11:47:48,17,1
14,28-08-2022 11:47:51,19,1
15,28-08-2022 11:47:53,20,1
16,28-08-2022 11:47:58,21,1
17,28-08-2022 11:47:59,22,1
18,28-08-2022 11:48:01,23,1
19,28-08-2022 11:48:04,24,1
20,28-08-2022 11:48:05,26,1
21,28-08-2022 11:48:07,27,1
22,28-08-2022 11:48:08,28,1
23,28-08-2022 11:48:10,29,1
24,28-08-2022 11:48:13,31,1
25,28-08-2022 11:48:14,33,1
26,28-08-2022 11:48:17,34,1
27,28-08-2022 11:48:18,35,1
28,28-08-2022 11:48:20,37,1
29,28-08-2022 11:48:21,39,1
30,28-08-2022 11:48:23,42,1
31,28-08-2022 11:48:24,43,1
